name,RA,DEC,zlens
SDSSJ1258+3703,194.61429,37.06125,0.0733
SDSSJ1258-0259,194.62037,-2.99442,0.1111
SDSSJ1301+0834,195.36196,8.57367,0.0902
SDSSJ1306+5545,196.5645,55.76081,0.065
SDSSJ1310+0220,197.71421,2.33608,0.0665
SDSSJ1328+0156,202.06329,1.9425,0.1168
SDSSJ1330+1750,202.63079,17.84456,0.2074
SDSSJ1356+0601,209.24642,6.02744,0.1256
SDSSJ1400+2933,210.24562,29.55969,0.3407
SDSSJ1403+3309,210.79025,33.15492,0.0625
SDSSJ1405+1353,211.31962,13.89481,0.1331
SDSSJ1406+2528,211.58767,25.47969,0.1193
SDSSJ1422+0203,215.57812,2.0545,0.1104
SDSSJ1424+0109,216.24292,1.15361,0.3042
SDSSJ1425+0951,216.39804,9.85,0.1583
SDSSJ1430+6104,217.64483,61.068,0.1688
SDSSJ1433+2835,218.46508,28.58786,0.0912
SDSSJ1446+4943,221.57742,49.72689,0.1731
SDSSJ1451+2951,222.81842,29.85103,0.1249
SDSSJ1514+3003,228.56404,30.06164,0.0923
SDSSJ1514+3259,228.63725,32.99578,0.1124
SDSSJ1531+0652,232.80183,6.87033,0.2085
SDSSJ1541+3642,235.34275,36.70883,0.1406
SDSSJ1542+3214,235.70671,32.23569,0.0924
SDSSJ1543+2202,235.91642,22.03978,0.2681
SDSSJ1550+2020,237.54425,20.33708,0.1351
SDSSJ1553+3004,238.31721,30.07378,0.1604
SDSSJ1607+1545,241.86896,15.75236,0.1422
SDSSJ1607+2147,241.91871,21.78636,0.2089
SDSSJ1609+1805,242.43346,18.0845,0.1497
SDSSJ1610+4648,242.65012,46.81517,0.0462
SDSSJ1621+0552,245.27079,5.88039,0.1538
SDSSJ1629+1331,247.36479,13.52003,0.1223
SDSSJ1633+1441,248.434,14.69858,0.1281
SDSSJ2134+1043,323.61017,10.72031,0.229
SDSSJ2157+0004,329.41187,0.07136,0.1444
SDSSJ2211-0843,332.93171,-8.71956,0.0684
SDSSJ2309-0039,347.44317,-0.65358,0.2905
SDSSJ2324+0105,351.11567,1.09958,0.1899
SDSSJ2356+1427,359.19833,14.45506,0.1446
SDSSJ1029+2623,157.30808,26.38832,0.58
SDSSJ1456+5702 | [J145600+570229] | [J145600+570226] | [J145600+570228],224.00275,57.04064,0.484 | nan | nan | nan
SDSSJ0822+1828,125.61446,18.48217,0.1153
SDSSJ0832+0404,128.06667,4.06811,0.659
SDSSJ0919+3423,139.95417,34.38444,0.0375
SDSSJ1011+0143,152.87083,1.72314,0.331
SDSSJ1016+3859,154.09888,38.97775,0.16795
SDSSJ1347-0101,206.77067,-1.01764,0.3969
LRG | CSWA21 | 21.0 | SDSS J002240.9+143110,5.67046,14.51948,0.38 | 0.38 | 0.38 | 0.38
SDSSJ0820+4847 | J0820+4847,125.0536,48.79364,0.13091 | 0.131
J0915+4211 | SDSSJ0915+4211,138.81785,42.198,0.078 | 0.07846
